"donor_id","cohort","condition","gart_threshold","group","n_cells"
"SCP259_N110","SCP259","UC",2,"Endothelial",59
"SCP259_N110","SCP259","UC",2,"Other epithelial",6918
"SCP259_N110","SCP259","UC",2,"T/NK",523
"SCP259_N110","SCP259","UC",2,"GART-undetected ISC-like",7
"SCP259_N110","SCP259","UC",2,"GART-detected ISC-like",0
"SCP259_N111","SCP259","UC",1,"Myeloid",1115
"SCP259_N111","SCP259","UC",1,"Fibroblast",1790
"SCP259_N111","SCP259","UC",1,"Endothelial",383
"SCP259_N111","SCP259","UC",1,"Other epithelial",2767
"SCP259_N111","SCP259","UC",1,"T/NK",7929
"SCP259_N111","SCP259","UC",1,"GART-undetected ISC-like",210
"SCP259_N111","SCP259","UC",1,"GART-detected ISC-like",138
"SCP259_N111","SCP259","UC",2,"Myeloid",1115
"SCP259_N111","SCP259","UC",2,"Fibroblast",1790
"SCP259_N111","SCP259","UC",2,"Endothelial",383
"SCP259_N111","SCP259","UC",2,"Other epithelial",2767
"SCP259_N111","SCP259","UC",2,"T/NK",7929
"SCP259_N111","SCP259","UC",2,"GART-undetected ISC-like",210
"SCP259_N111","SCP259","UC",2,"GART-detected ISC-like",40
"SCP259_N12","SCP259","UC",1,"Myeloid",182
"SCP259_N12","SCP259","UC",1,"Fibroblast",586
"SCP259_N12","SCP259","UC",1,"Endothelial",215
"SCP259_N12","SCP259","UC",1,"Other epithelial",775
"SCP259_N12","SCP259","UC",1,"T/NK",231
"SCP259_N12","SCP259","UC",1,"GART-undetected ISC-like",4
"SCP259_N12","SCP259","UC",1,"GART-detected ISC-like",0
"SCP259_N12","SCP259","UC",2,"Myeloid",182
"SCP259_N12","SCP259","UC",2,"Fibroblast",586
"SCP259_N12","SCP259","UC",2,"Endothelial",215
"SCP259_N12","SCP259","UC",2,"Other epithelial",775
"SCP259_N12","SCP259","UC",2,"T/NK",231
"SCP259_N12","SCP259","UC",2,"GART-undetected ISC-like",4
"SCP259_N12","SCP259","UC",2,"GART-detected ISC-like",0
"SCP259_N13","SCP259","Healthy",1,"Myeloid",205
"SCP259_N13","SCP259","Healthy",1,"Fibroblast",232
"SCP259_N13","SCP259","Healthy",1,"Endothelial",28
"SCP259_N13","SCP259","Healthy",1,"Other epithelial",1486
"SCP259_N13","SCP259","Healthy",1,"T/NK",859
"SCP259_N13","SCP259","Healthy",1,"GART-undetected ISC-like",0
"SCP259_N13","SCP259","Healthy",1,"GART-detected ISC-like",0
"SCP259_N13","SCP259","Healthy",2,"Myeloid",205
"SCP259_N13","SCP259","Healthy",2,"Fibroblast",232
"SCP259_N13","SCP259","Healthy",2,"Endothelial",28
"SCP259_N13","SCP259","Healthy",2,"Other epithelial",1486
"SCP259_N13","SCP259","Healthy",2,"T/NK",859
"SCP259_N13","SCP259","Healthy",2,"GART-undetected ISC-like",0
"SCP259_N13","SCP259","Healthy",2,"GART-detected ISC-like",0
"SCP259_N14","SCP259","UC",1,"Myeloid",57
"SCP259_N14","SCP259","UC",1,"Fibroblast",376
"SCP259_N14","SCP259","UC",1,"Endothelial",176
"SCP259_N14","SCP259","UC",1,"Other epithelial",2828
"SCP259_N14","SCP259","UC",1,"T/NK",837
"SCP259_N14","SCP259","UC",1,"GART-undetected ISC-like",1
"SCP259_N14","SCP259","UC",1,"GART-detected ISC-like",1
"SCP259_N14","SCP259","UC",2,"Myeloid",57
"SCP259_N14","SCP259","UC",2,"Fibroblast",376
"SCP259_N14","SCP259","UC",2,"Endothelial",176
"SCP259_N14","SCP259","UC",2,"Other epithelial",2828
"SCP259_N14","SCP259","UC",2,"T/NK",837
"SCP259_N14","SCP259","UC",2,"GART-undetected ISC-like",1
"SCP259_N14","SCP259","UC",2,"GART-detected ISC-like",0
"SCP259_N15","SCP259","Healthy",1,"Myeloid",263
