"TF","n_paths","mean_score","max_score","mean_pred_label","tf_mean","tf_pct","core_targets_hit"
"RBBP7",66,0.0498657391047182,0.360296934634265,0.87238866969697,0.477965224605911,71.219512195122,"RAN, PCNA, BRCA1"
"EPHB2",66,0.0339360600240417,0.246607467714511,0.931821864545455,0.38701450183977,62.2764227642276,""
"POLR2E",55,0.0573623045284661,0.493460445389847,0.861113368909091,0.734235318435007,84.8455284552846,"BRCA1"
"PPIF",55,0.0292123197020514,0.113606724430532,0.870017284181818,0.400251538763564,65.9186991869919,"ASCL2"
"CHAF1A",55,0.0195980102741241,0.109457170821308,0.910965128363636,0.147345054806041,32.3252032520325,"PCNA"
"SMC1A",53,0.0322994004300526,0.132820751269026,0.792690893018868,0.324095779848236,57.4308943089431,"PCNA"
"SMC4",52,0.041512906442434,0.178262711546457,0.921071354230769,0.406666749761893,61.3658536585366,""
"SAFB",48,0.0338930541777827,0.116651712523051,0.785464369791667,0.261716993714536,53.6260162601626,"TYMS"
"PARP2",42,0.0140437857228489,0.0712453953303023,0.816688447142857,0.0681357827872699,18.7642276422764,"RAN"
"PHIP",39,0.0250790462334661,0.0640650104010489,0.788390881282051,0.267515283923162,53.1707317073171,"TK1, TYMS"
"EIF4EBP1",37,0.0784239364881547,0.541976908129724,0.832168115135135,0.866161871318302,84.7479674796748,"BRCA1"
"GTF2I",33,0.0935099322252141,0.413734219657069,0.862353613030303,0.33653144311988,60.520325203252,""
"HOXB9",33,0.0475670328504908,0.224898420562251,0.983107692121212,0.305245503110232,56.4227642276423,""
"HRAS",33,0.0269189134075148,0.132670620709772,0.974568475151515,0.267862433554246,53.2357723577236,"CDK4"
"MDC1",32,0.00237511844019799,0.00722949021402642,0.8327712703125,0.0647185446256436,17.3983739837398,"BRCA1"
"SRSF7",24,0.0819723863757847,0.330456379187152,0.7793092675,0.982084104333404,92.4878048780488,"TYMS"
"GTF3A",24,0.0382244703290937,0.114941521778851,0.790789273333333,0.68978383631068,82.6341463414634,"TYMS"
"SNRPD1",22,0.100769767142398,0.455014325388912,0.895366197727273,1.26381810220034,96.2276422764228,"PCNA"
"XRCC6",22,0.0847531534399205,0.373208266245959,0.88251192,0.952768685529741,91.3821138211382,"PCNA"
"NPM1",22,0.0803093003342077,0.267957105521529,0.886239707272727,2.13758191421096,98.9268292682927,""
"PREB",22,0.0419334403235585,0.131021649097223,0.781583447272727,0.257254744844078,50.5365853658537,""
