gart_threshold,min_cells,expression_threshold,result_type,source,interaction_name,pathway_name,ligand,receptor,median_difference,HL_estimate,CI_low,CI_high,P,positive_donor_fraction,n_paired_donors,test,warning,FDR,direction
2,30,0.05,interaction_family,Fibroblast,MIF_CD74_FAMILY,MIF,MIF,CD74-containing receptor complex family,0.0141343459170923,0.0119826656014269,0.00495277422038813,0.0195428375772421,0.01953125,0.8,10,exact Wilcoxon signed-rank,,0.0363136574074074,positive
2,30,0.05,interaction_family,Myeloid,MIF_CD74_FAMILY,MIF,MIF,CD74-containing receptor complex family,0.00861834099440618,0.00792864062718958,0.00149914613154112,0.0140319685728938,0.02734375,0.8,10,exact Wilcoxon signed-rank,,0.0468483361774744,positive
2,30,0.05,interaction_family,Other epithelial,MIF_CD74_FAMILY,MIF,MIF,CD74-containing receptor complex family,0.0204975497119539,0.0178741569482883,0.00592192566241061,0.0275011459171735,0.013671875,0.8,10,exact Wilcoxon signed-rank,,0.0326822916666667,positive
2,30,0.05,interaction_family,T/NK,MIF_CD74_FAMILY,MIF,MIF,CD74-containing receptor complex family,0.010624219027297,0.00962133637768192,0.00363819378584342,0.0151440156303242,0.013671875,0.8,10,exact Wilcoxon signed-rank,,0.0326822916666667,positive
2,30,0.1,interaction_family,Endothelial,MIF_CD74_FAMILY,MIF,MIF,CD74-containing receptor complex family,0.0149129916103889,0.0134229249850332,0.00529626665907144,0.0202497499622608,0.01953125,0.8,10,exact Wilcoxon signed-rank,,0.0408135775862069,positive
2,30,0.1,interaction_family,Fibroblast,MIF_CD74_FAMILY,MIF,MIF,CD74-containing receptor complex family,0.0141343459170923,0.0119826656014269,0.00495277422038813,0.0195428375772421,0.01953125,0.8,10,exact Wilcoxon signed-rank,,0.0408135775862069,positive
2,30,0.1,interaction_family,Myeloid,MIF_CD74_FAMILY,MIF,MIF,CD74-containing receptor complex family,0.00861834099440618,0.00792864062718958,0.00149914613154112,0.0140319685728938,0.02734375,0.8,10,exact Wilcoxon signed-rank,,0.0521079009433962,positive
2,30,0.1,interaction_family,Other epithelial,MIF_CD74_FAMILY,MIF,MIF,CD74-containing receptor complex family,0.0204975497119539,0.0178741569482883,0.00592192566241061,0.0275011459171735,0.013671875,0.8,10,exact Wilcoxon signed-rank,,0.0345574817518248,positive
2,30,0.1,interaction_family,T/NK,MIF_CD74_FAMILY,MIF,MIF,CD74-containing receptor complex family,0.010624219027297,0.00962133637768192,0.00363819378584342,0.0151440156303242,0.013671875,0.8,10,exact Wilcoxon signed-rank,,0.0345574817518248,positive
2,30,0.2,interaction_family,Endothelial,MIF_CD74_FAMILY,MIF,MIF,CD74-containing receptor complex family,0.0126658185685828,0.0109555317416313,0.00144772097702944,0.0205211134284027,0.0390625,0.777777777777778,9,exact Wilcoxon signed-rank,,0.0550235215053764,positive
2,30,0.2,interaction_family,Fibroblast,MIF_CD74_FAMILY,MIF,MIF,CD74-containing receptor complex family,0.0159481710933775,0.0103504159163166,0.000689016672267805,0.0192037449314496,0.0390625,0.777777777777778,9,exact Wilcoxon signed-rank,,0.0550235215053764,positive
2,30,0.2,interaction_family,Myeloid,MIF_CD74_FAMILY,MIF,MIF,CD74-containing receptor complex family,0.00452991783980256,0.00718511010481994,-0.00107939731170457,0.018113134171417,0.15625,0.714285714285714,7,exact Wilcoxon signed-rank,,0.194940476190476,positive
2,30,0.2,interaction_family,Other epithelial,MIF_CD74_FAMILY,MIF,MIF,CD74-containing receptor complex family,0.0147066244661973,0.014613091324126,0.004209302558004,0.0250960847014277,0.013671875,0.8,10,exact Wilcoxon signed-rank,,0.0303561970338983,positive
2,30,0.2,interaction_family,T/NK,MIF_CD74_FAMILY,MIF,MIF,CD74-containing receptor complex family,0.0106813412096058,,,,,0.8,5,not estimable: <6 paired donors,,,not estimable
