method,source,omitted_donor,median_difference,positive_direction,n
LIANA_consensus,Other epithelial,SCP259_N106,0.227369226883561,TRUE,10
LIANA_consensus,Other epithelial,SCP259_N111,0.188808077843013,TRUE,10
LIANA_consensus,Other epithelial,SCP259_N23,0.188808077843013,TRUE,10
LIANA_consensus,Other epithelial,SCP259_N24,0.188808077843013,TRUE,10
LIANA_consensus,Other epithelial,SCP259_N44,0.201728055986459,TRUE,10
LIANA_consensus,Other epithelial,SCP259_N49,0.227369226883561,TRUE,10
LIANA_consensus,Other epithelial,SCP259_N50,0.227369226883561,TRUE,10
LIANA_consensus,Other epithelial,SCP259_N539,0.188808077843013,TRUE,10
LIANA_consensus,Other epithelial,SCP259_N58,0.188808077843013,TRUE,10
LIANA_consensus,Other epithelial,SCP259_N661,0.227369226883561,TRUE,10
LIANA_consensus,Other epithelial,SCP259_N9,0.227369226883561,TRUE,10
LIANA_consensus,T/NK,SCP259_N106,0.21810773615513,TRUE,10
LIANA_consensus,T/NK,SCP259_N111,0.198058045503379,TRUE,10
LIANA_consensus,T/NK,SCP259_N23,0.198058045503379,TRUE,10
LIANA_consensus,T/NK,SCP259_N24,0.198058045503379,TRUE,10
LIANA_consensus,T/NK,SCP259_N44,0.21810773615513,TRUE,10
LIANA_consensus,T/NK,SCP259_N49,0.21810773615513,TRUE,10
LIANA_consensus,T/NK,SCP259_N50,0.21810773615513,TRUE,10
LIANA_consensus,T/NK,SCP259_N539,0.205633068910837,TRUE,10
LIANA_consensus,T/NK,SCP259_N58,0.198058045503379,TRUE,10
LIANA_consensus,T/NK,SCP259_N661,0.198058045503379,TRUE,10
LIANA_consensus,T/NK,SCP259_N9,0.21810773615513,TRUE,10
NATMI,Endothelial,SCP259_N106,0.539433181285858,TRUE,10
NATMI,Endothelial,SCP259_N111,0.516187906265259,TRUE,10
NATMI,Endothelial,SCP259_N23,0.516187906265259,TRUE,10
NATMI,Endothelial,SCP259_N24,0.516187906265259,TRUE,10
NATMI,Endothelial,SCP259_N44,0.539433181285858,TRUE,10
NATMI,Endothelial,SCP259_N49,0.539433181285858,TRUE,10
NATMI,Endothelial,SCP259_N50,0.539433181285858,TRUE,10
NATMI,Endothelial,SCP259_N539,0.539433181285858,TRUE,10
NATMI,Endothelial,SCP259_N58,0.516187906265259,TRUE,10
NATMI,Endothelial,SCP259_N661,0.527994573116303,TRUE,10
NATMI,Endothelial,SCP259_N9,0.516187906265259,TRUE,10
NATMI,Fibroblast,SCP259_N106,0.551409959793091,TRUE,10
NATMI,Fibroblast,SCP259_N111,0.534266889095306,TRUE,10
NATMI,Fibroblast,SCP259_N23,0.534266889095306,TRUE,10
NATMI,Fibroblast,SCP259_N24,0.534266889095306,TRUE,10
NATMI,Fibroblast,SCP259_N44,0.551409959793091,TRUE,10
NATMI,Fibroblast,SCP259_N49,0.551409959793091,TRUE,10
NATMI,Fibroblast,SCP259_N50,0.551409959793091,TRUE,10
NATMI,Fibroblast,SCP259_N539,0.547154843807221,TRUE,10
NATMI,Fibroblast,SCP259_N58,0.551409959793091,TRUE,10
NATMI,Fibroblast,SCP259_N661,0.534266889095306,TRUE,10
NATMI,Fibroblast,SCP259_N9,0.534266889095306,TRUE,10
NATMI,Myeloid,SCP259_N106,0.302491098642349,TRUE,10
NATMI,Myeloid,SCP259_N111,0.251584261655807,TRUE,10
NATMI,Myeloid,SCP259_N23,0.251584261655807,TRUE,10
NATMI,Myeloid,SCP259_N24,0.302491098642349,TRUE,10
NATMI,Myeloid,SCP259_N44,0.251584261655807,TRUE,10
NATMI,Myeloid,SCP259_N49,0.302491098642349,TRUE,10
NATMI,Myeloid,SCP259_N50,0.302491098642349,TRUE,10
NATMI,Myeloid,SCP259_N539,0.275085628032684,TRUE,10
