gart_threshold,min_cells,expression_threshold,source,interaction_name,result_type,pathway_name,ligand,receptor,median_difference,HL_estimate,CI_low,CI_high,P,positive_donor_fraction,n_paired_donors,test,warning,FDR,lodo_positive_fraction,lodo_n
1,10,0.2,Myeloid,MIF_CD74_CXCR4,interaction,MIF,MIF,CD74_CXCR4,0.00240492506052556,,,,,1,2,not estimable: <6 paired donors,"",,1,2
1,10,0.2,Myeloid,MIF_CD74_FAMILY,interaction_family,MIF,MIF,CD74-containing receptor complex family,0.0036573743291564,0.00468863704100316,0.00159667718803699,0.013241971796421,0.03125,0.857142857142857,7,exact Wilcoxon signed-rank,"",0.0513888888888889,1,7
1,10,0.2,Other epithelial,,pathway,MIF,,,0.0132354064732892,0.015300488398782,0.00827186445136069,0.0249908939126532,0.000976562500000001,0.916666666666667,12,exact Wilcoxon signed-rank,"",0.00362723214285715,,
1,10,0.2,Other epithelial,,pathway,MK,,,0.025302154749272,0.0224589087263987,0.0164694707454495,0.0306883180418791,0.0009765625,1,11,exact Wilcoxon signed-rank,"",0.00362723214285715,,
1,10,0.2,Other epithelial,MIF_CD74_CD44,interaction,MIF,MIF,CD74_CD44,0.0117280402576445,0.0124817233654669,0.00551834943644029,0.0185894311953459,0.000976562500000001,0.916666666666667,12,exact Wilcoxon signed-rank,"",0.0045166015625,1,12
1,10,0.2,Other epithelial,MIF_CD74_CXCR4,interaction,MIF,MIF,CD74_CXCR4,0.00514741721926436,,,,,1,2,not estimable: <6 paired donors,"",,1,2
1,10,0.2,Other epithelial,MIF_CD74_FAMILY,interaction_family,MIF,MIF,CD74-containing receptor complex family,0.0117280402576445,0.0126582563433401,0.00725611201738799,0.0185894311953459,0.000976562500000001,0.916666666666667,12,exact Wilcoxon signed-rank,"",0.0045166015625,1,12
1,10,0.2,T/NK,,pathway,MIF,,,0.00595176339437417,,,,,0.8,5,not estimable: <6 paired donors,"",,,
1,10,0.2,T/NK,MIF_CD74_CD44,interaction,MIF,MIF,CD74_CD44,0.00415438357684284,,,,,0.8,5,not estimable: <6 paired donors,"",,1,5
1,10,0.2,T/NK,MIF_CD74_CXCR4,interaction,MIF,MIF,CD74_CXCR4,0.00510260698532281,,,,,1,1,not estimable: <6 paired donors,"",,,1
1,10,0.2,T/NK,MIF_CD74_FAMILY,interaction_family,MIF,MIF,CD74-containing receptor complex family,0.00595176339437418,,,,,0.8,5,not estimable: <6 paired donors,"",,1,5
1,20,0.05,Endothelial,,pathway,BMP,,,2.2767210657596e-05,,,,,0.5,2,not estimable: <6 paired donors,"",,,
1,20,0.05,Endothelial,,pathway,MIF,,,0.0105174238160977,0.0104641872727714,0.00419302503028723,0.021938028134249,0.0029296875,0.909090909090909,11,exact Wilcoxon signed-rank,"",0.00779594809322034,,
1,20,0.05,Endothelial,,pathway,MK,,,0.0145942923101518,0.01333569826236,0.00955185457911125,0.0206319814184367,0.0009765625,1,11,exact Wilcoxon signed-rank,"",0.00528690732758621,,
1,20,0.05,Endothelial,,pathway,TRAIL,,,0.00116487493934097,0.00238238580528776,0.000160240731682965,0.00420979116266049,0.0244140625,0.818181818181818,11,exact Wilcoxon signed-rank,"",0.0365048363095238,,
