"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","collection"
"GOBP_UBIQUINONE_METABOLIC_PROCESS",0.479784366576819,0.567841523416145,0.0982123351217438,0.329012531439223,0.987337164756913,18,"COQ3|COQ6|NDUFA9|COQ2|UBIAD1|COQ4|PDSS1|ADCK2","GO_BP"
"GOBP_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS_VIA_THE_MULTIVESICULAR_BODY_SORTING_PATHWAY",0.18361153262519,0.270252375759464,0.123257226381337,-0.384449099526008,-1.23650163830767,34,"CHMP1B|CHMP5|STAM2|CHMP2B|VPS37B|VPS37A|CHMP3|CHMP2A|CHMP4B|CHMP4C|VPS4B|VPS4A|VPS28|PTPN23|CHMP1A|STAM|UBAP1|CHMP7|VPS36","GO_BP"
"GOBP_UNSATURATED_FATTY_ACID_BIOSYNTHETIC_PROCESS",0.416791604197901,0.51027602514741,0.0736212741014394,-0.315944064273197,-1.02808252007945,35,"IL1B|EDN1|PLA2G10|ACOX1|AKR1C3|PNPLA8|SIRT1|ABCD1|EHHADH|PLA2G4F|ACOT8|ELOVL6|TMEM135|SCP2","GO_BP"
"GOBP_UNSATURATED_FATTY_ACID_METABOLIC_PROCESS",0.00437736599475522,0.015570699801413,0.407017918923954,-0.453581562487398,-1.6387517435556,66,"IL1B|HPGD|CYP4F3|CYP4F11|EDN1|CYP2C18|PLA2G10|ALOX5|CYP4F12|MGLL|CES2|ACOX1|AKR1C1|AKR1C2|AKR1C3|TNFRSF1A|PNPLA8","GO_BP"
"GOBP_UROGENITAL_SYSTEM_DEVELOPMENT",0.596273291925466,0.673345599523302,0.0937465422491719,0.248018596392211,0.910434159562433,38,"PTCH1|HELLS|ACD|BMP4|FKBP4|EPHB3|WDR77|EPHB2","GO_BP"
"GOBP_VACUOLAR_ACIDIFICATION",0.458015267175573,0.547700303981956,0.0697792517076235,-0.322131053052202,-1.00958371286222,31,"CLIC4|ATP6V0A1|GRN|TMEM106B|ATP6V1A|ATP6V1D|DMXL1|RNASEK","GO_BP"
"GOBP_VACUOLAR_LOCALIZATION",0.7701317715959,0.821668844032921,0.0433636987883266,-0.236020289496536,-0.815973115182617,49,"UNC13D|FLCN|SYTL4|VAMP8|NDEL1|SNAP23|RAC2|TMEM106B|PLEKHM1|SNX6|SPAG9|VAMP2|ARL8B|LYN|IL4R|STXBP2|MYH9|VAMP3","GO_BP"
"GOBP_VACUOLAR_TRANSPORT",5.34900078195452e-05,0.000486617062287544,0.557332238758646,-0.441099325705361,-1.80556635754612,145,"DENND3|LRP1|VIPAS39|LYST|SMURF1|SQSTM1|SORL1|LAPTM5|PINK1|CHMP1B|RILP|ATG14|RHOB|GRN|CHMP5|SNX16|IGF2R|CLU|PLEKHF2|STAM2|NDFIP2|CHMP2B|TMEM106B|GCC2|PLEKHM1|HSPA1A|VPS37B|NDFIP1|HOOK3|SCARB2|SCYL2|PSAP|TRAK1|AP1G1|NCOA4|VPS13A|MFSD1|C9orf72|VPS37A|VPS13C|NAGPA|LEPROT|ATP6V0D1|ARL8B|CHMP3|TMEM50A|LAMP2|CHMP2A|CHMP4B|CHMP4C|VPS4B|GAK|VPS4A|UBXN6|BECN1|ALS2|CDX2|MTM1|KIF13A|ATP13A2|ZFYVE16|USE1|VPS28|AP1G2|VTI1B|PTPN23|CHMP1A|TPCN2|VTA1|CCDC91|STAM|RAB7A|PIK3C3|UBAP1|HOOK1|BIN1|CHMP7|MON1B|GNPTG","GO_BP"
"GOBP_VACUOLE_ORGANIZATION",0.000290525673530427,0.00199500648315584,0.49849310876659,-0.390185463755026,-1.65186922343006,202,"GABARAPL1|TP53INP2|RALB|VIPAS39|ABCA1|BNIP3|SMURF1|MAP1LC3B|CTSD|FNIP1|ATP10B|TP53INP1|STX12|FLCN|RAB5A|TOM1|CORO1A|LAPTM5|PINK1|FEZ2|ATP6V0A1|CHMP1B|ATG14|EFNB1|GRN|CHMP5|VMP1|PIP4K2C|TFE3|PSEN1|RB1CC1|EXT1|ATG4A|RAB14|ATG4D|SH3GLB1|CHMP2B|TMEM106B|ATG9A|ATP6V1A|ATP6V1D|RNF186|TRAF6|RNASEK|FIG4|HOOK3|SCARB2|ATG2A|MCOLN1|MAP1LC3B2|C9orf72|MOAP1|BAG3|NAGPA|GABARAPL2|ATG2B|ARSG|CLN8|ARL8B|CHMP3|LAMP2|CHMP2A|CHMP4B|PHF23|CHMP4C|HPS1|VPS4B|VPS4A|ANXA2|RAB3GAP1|BECN1|MTM1|SNX4|SPG11|ATP13A2|RAB33B|DNAJC16|MTMR3|WDR45B|ATF2|ATP6AP2|MAN2A1|TFEB|UBXN2B|SNX30|PIK3C2B|CHMP1A|TPCN2|ATP6V1H|RAB7A|RAB3GAP2|PIK3C3|RAB1A|ZFYVE26|SNX18|HOOK1|SEC22B|CHMP7|RAB20","GO_BP"
"GOBP_VASCULAR_ASSOCIATED_SMOOTH_MUSCLE_CELL_DIFFERENTIATION",0.487603305785124,0.57373849486506,0.070619624712259,-0.379082038219717,-0.980932374619448,15,"ADM|VEGFA|CTH|PDCD4|HES1|SOD2","GO_BP"
"GOBP_VASCULAR_ASSOCIATED_SMOOTH_MUSCLE_CELL_MIGRATION",0.123613312202853,0.197218548801654,0.157402899305283,-0.494265788517224,-1.3518256884536,18,"DOCK5|PRKG1|DOCK4|DDIT3|GRB10|MDM2|NF1|FAT1|NFE2L2|MAP3K7|PAK1","GO_BP"
"GOBP_VASCULAR_ASSOCIATED_SMOOTH_MUSCLE_CELL_PROLIFERATION",0.0117757983600867,0.0331808020294631,0.380730400722792,-0.499701171309501,-1.62602845750031,35,"HPGD|CDKN1A|JAK2|MEF2D|PRKG1|EDN1|PPARG|RGCC|MAP3K5|DDIT3","GO_BP"
"GOBP_VASCULAR_ASSOCIATED_SMOOTH_MUSCLE_CONTRACTION",0.000114596756000219,0.000932497085764317,0.538434096309916,-0.764000898433513,-2.006642719787,16,"SCNN1B|DOCK5|EDN3|EDN1|DOCK4|ARHGAP42|ACTA2|ATP2B1","GO_BP"
"GOBP_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_PRODUCTION",0.132013201320132,0.207930905450096,0.155241966228839,-0.507034663853155,-1.33172280161804,16,"IL1B|IL6R|IL6ST|STAT3|HPSE","GO_BP"
"GOBP_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY",0.110773899848255,0.181523223768341,0.163180127180689,-0.425993505038779,-1.30428789803152,28,"IL1B|HSPB1|PTK2B|VEGFA|MAPK14|GRB10|EPN2|HIF1AN|BCAR1|PAK2|HIF1A|SRC|PRKD2","GO_BP"
"GOBP_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_SIGNALING_PATHWAY",0.299352750809061,0.396565242051179,0.0959206777921745,-0.421513435169393,-1.12059044585073,17,"PROX1|SMOC2|VEGFA|PIK3CA|SEMA6A|MYO1C|PIK3CB|ITGB1|GAB1|CD63|NUS1","GO_BP"
"GOBP_VASCULAR_PROCESS_IN_CIRCULATORY_SYSTEM",4.1144246602923e-09,1.54742507955384e-07,0.761460801445585,-0.552650626299973,-2.20369922915126,124,"CEACAM1|SLC6A20|KLF2|ADM|PLEC|SLC2A3|SLC6A9|SCNN1B|LRP1|PPARD|DOCK5|EDN3|P2RY2|PRKG1|EDN1|SLC2A13|ABCC5|RGS2|DOCK4|FLVCR2|SLC2A1|ATP2B4|SLCO2B1|PDE3A|F2RL1|HRH1|SLC4A4|MFSD2A|APOE|ATP8A1|TJP3|ADD3|ARHGAP42|ECE1|SLC44A1|SLC1A1|OCLN|ACTA2|ABCC3|BMPR2|SLC22A5|KAT2B|ATP2B1|VEGFA|SLC6A6|EXT1|ACE2|PER2|SLC38A2|SLC27A4|ACE|ADRA2A|INSR","GO_BP"
"GOBP_VASCULAR_TRANSPORT",0.000953861044581493,0.00505448017438028,0.477270815362862,-0.53741087193836,-1.81963783026548,45,"SLC6A20|SLC2A3|SLC6A9|LRP1|SLC2A13|ABCC5|FLVCR2|SLC2A1|ATP2B4|SLCO2B1|SLC4A4|MFSD2A|APOE|ATP8A1|SLC44A1|SLC1A1|ABCC3|SLC22A5|SLC6A6|SLC38A2|SLC27A4|INSR","GO_BP"
