"donor_id","cohort","mean_score.negative","mean_score.positive","delta","module"
"GSE214695_HC3","GSE214695",0.144440416111715,0.199263750147908,0.0548233340361927,"Reactome_MHCII_antigen_presentation"
"GSE214695_HC5","GSE214695",0.14734387524605,NA,NA,"Reactome_MHCII_antigen_presentation"
"GSE214695_UC1","GSE214695",0.136544121998914,NA,NA,"Reactome_MHCII_antigen_presentation"
"GSE214695_UC2","GSE214695",0.201450902084057,0.219666881666277,0.0182159795822201,"Reactome_MHCII_antigen_presentation"
"GSE214695_UC3","GSE214695",0.201073628840803,0.259203064934561,0.058129436093758,"Reactome_MHCII_antigen_presentation"
"GSE214695_UC4","GSE214695",0.270199226878361,0.332021844014277,0.0618226171359166,"Reactome_MHCII_antigen_presentation"
"GSE214695_UC5","GSE214695",0.11539091369406,0.238101318967502,0.122710405273442,"Reactome_MHCII_antigen_presentation"
"GSE214695_UC6","GSE214695",0.165598783476618,0.193855875373277,0.0282570918966599,"Reactome_MHCII_antigen_presentation"
"SCP259_N10","SCP259",0.25862210631356,NA,NA,"Reactome_MHCII_antigen_presentation"
"SCP259_N106","SCP259",0.20951523625779,0.221553281401364,0.0120380451435739,"Reactome_MHCII_antigen_presentation"
"SCP259_N110","SCP259",0.104041267312848,NA,NA,"Reactome_MHCII_antigen_presentation"
"SCP259_N111","SCP259",0.206889122651709,0.226930967833479,0.0200418451817702,"Reactome_MHCII_antigen_presentation"
"SCP259_N12","SCP259",0.203404514089892,NA,NA,"Reactome_MHCII_antigen_presentation"
"SCP259_N14","SCP259",0.163039792549544,0.16502571756358,0.00198592501403622,"Reactome_MHCII_antigen_presentation"
"SCP259_N15","SCP259",0.203860509933738,NA,NA,"Reactome_MHCII_antigen_presentation"
"SCP259_N19","SCP259",0.101174395824712,0.16583796986181,0.0646635740370979,"Reactome_MHCII_antigen_presentation"
"SCP259_N21","SCP259",0.12822628257158,NA,NA,"Reactome_MHCII_antigen_presentation"
"SCP259_N23","SCP259",0.212639326647848,0.232871021411935,0.0202316947640871,"Reactome_MHCII_antigen_presentation"
"SCP259_N24","SCP259",0.161859215154644,0.170695461875008,0.00883624672036448,"Reactome_MHCII_antigen_presentation"
"SCP259_N26","SCP259",0.176938644566738,0.100428155252551,-0.0765104893141861,"Reactome_MHCII_antigen_presentation"
"SCP259_N44","SCP259",0.217602811132499,0.211947380614052,-0.00565543051844661,"Reactome_MHCII_antigen_presentation"
"SCP259_N49","SCP259",0.197653745816309,0.212104895320603,0.0144511495042938,"Reactome_MHCII_antigen_presentation"
"SCP259_N50","SCP259",0.223930810196408,0.253241313035952,0.0293105028395436,"Reactome_MHCII_antigen_presentation"
"SCP259_N51","SCP259",0.155137198787996,0.121092443575958,-0.0340447552120377,"Reactome_MHCII_antigen_presentation"
"SCP259_N52","SCP259",0.102429400965603,0.111325557144587,0.00889615617898352,"Reactome_MHCII_antigen_presentation"
"SCP259_N539","SCP259",0.117410559869977,0.129006832977125,0.0115962731071483,"Reactome_MHCII_antigen_presentation"
"SCP259_N58","SCP259",0.194899074187108,0.203071454432368,0.00817238024525982,"Reactome_MHCII_antigen_presentation"
"SCP259_N661","SCP259",0.183541705171444,0.211585681796688,0.0280439766252433,"Reactome_MHCII_antigen_presentation"
"SCP259_N7","SCP259",0.224956458870651,0.220614958956207,-0.00434149991444427,"Reactome_MHCII_antigen_presentation"
"SCP259_N9","SCP259",0.235546906277784,0.250351408649728,0.0148045023719439,"Reactome_MHCII_antigen_presentation"
"GSE214695_HC4","GSE214695",NA,0.172296475863141,NA,"Reactome_MHCII_antigen_presentation"
"GSE214695_HC6","GSE214695",NA,0.159723622097241,NA,"Reactome_MHCII_antigen_presentation"
