signature,rank,gene,log2FC,P,FDR,matched_singlecell,projection_weight
SC_GART_NEAREST_CENTROID_PROGRAM,533,CSTF3,0.212533138076909,0.0039631121618625,0.0237807888879729,True,0.057268666955781034
SC_GART_NEAREST_CENTROID_PROGRAM,534,TP53I11,0.203999951520764,0.0015770390468739,0.0125260366415659,True,0.06458389651568774
SC_GART_NEAREST_CENTROID_PROGRAM,535,DDB2,0.283062984097125,0.006715404571315,0.0342132511228514,True,0.033820030548820657
SC_GART_NEAREST_CENTROID_PROGRAM,536,PSMC3,0.151955932269234,0.0018461853472092,0.0138791151286183,True,0.07610036939268505
SC_GART_NEAREST_CENTROID_PROGRAM,537,PTPMT1,0.286043277878458,7.14136942301613e-05,0.0015893435830748,True,0.07529210138600373
SC_GART_NEAREST_CENTROID_PROGRAM,538,SSRP1,0.235149549514956,0.0004887557120114,0.0056495587861535,True,0.0934870633639674
SC_GART_NEAREST_CENTROID_PROGRAM,539,SLC43A3,0.669981909675623,0.0002777905616777,0.0037660894121783,True,0.01892500078055037
SC_GART_NEAREST_CENTROID_PROGRAM,540,SLC43A1,0.515688490044568,0.0001060147577705,0.0020229199704293,True,0.03398599036870242
SC_GART_NEAREST_CENTROID_PROGRAM,541,TIMM10,0.262237279386608,9.04720300088618e-05,0.00186229880086,True,0.0819723679872082
SC_GART_NEAREST_CENTROID_PROGRAM,542,TMX2,0.178751982728526,0.0040259556618041,0.0240509385779863,True,0.07950599981702766
SC_GART_NEAREST_CENTROID_PROGRAM,543,FAM111B,0.584982978310735,9.06998015314795e-06,0.0004077500277649,True,0.03655563919688165
SC_GART_NEAREST_CENTROID_PROGRAM,544,MRPL16,0.272810588390677,4.34552040631336e-05,0.0011144602518342,True,0.08410976436040829
SC_GART_NEAREST_CENTROID_PROGRAM,545,CCDC86,0.33669577182453,0.004348977042063,0.0253648951612594,True,0.02725682139238328
SC_GART_NEAREST_CENTROID_PROGRAM,546,PRPF19,0.377065988597196,6.88280615846893e-07,7.97483076443632e-05,True,0.0901112089547964
SC_GART_NEAREST_CENTROID_PROGRAM,547,TMEM109,0.259972412742643,0.0090029053458189,0.0416736627601561,True,0.04399994294696097
SC_GART_NEAREST_CENTROID_PROGRAM,548,TMEM258,0.120064901131337,0.007352351685151,0.0362608713975709,True,0.021614523879710745
SC_GART_NEAREST_CENTROID_PROGRAM,549,FEN1,0.804391562760038,7.45618503639159e-10,2.09500159060013e-06,True,0.09829469633291688
SC_GART_NEAREST_CENTROID_PROGRAM,550,FADS2,0.316700157635285,0.0065242752728662,0.0334670606078245,True,0.02899264061537521
SC_GART_NEAREST_CENTROID_PROGRAM,551,ASRGL1,0.25233036428093,0.000166777707429,0.0026799940563533,True,0.08476958244378663
SC_GART_NEAREST_CENTROID_PROGRAM,552,GANAB,0.197784412533899,0.0004682261404027,0.0054589145145086,True,0.06767574924498976
SC_GART_NEAREST_CENTROID_PROGRAM,553,INTS5,0.314178906822127,0.0045035196388899,0.0259431354287465,True,0.031153877912703742
SC_GART_NEAREST_CENTROID_PROGRAM,554,POLR2G,0.320987332414168,5.79219473042162e-06,0.0002999929796092,True,0.09216089289455576
SC_GART_NEAREST_CENTROID_PROGRAM,555,TMEM223,0.197385953051392,0.0017679609294065,0.0134917520074347,True,0.07263975511662668
SC_GART_NEAREST_CENTROID_PROGRAM,556,STIP1,0.338617714506051,1.30448854562073e-05,0.0005090675959802,True,0.08061880227781748
SC_GART_NEAREST_CENTROID_PROGRAM,557,PPP1R14B,0.321812108341468,8.63222836800709e-06,0.0003936496291864,True,0.08475779625618363
SC_GART_NEAREST_CENTROID_PROGRAM,558,TRMT112,0.292653903143243,2.26812803212301e-06,0.0001583322419442,True,0.07476340741005383
SC_GART_NEAREST_CENTROID_PROGRAM,559,ARL2,0.130418707816881,0.0110996534330519,0.0481470493763295,True,0.07956496440128702
SC_GART_NEAREST_CENTROID_PROGRAM,560,SAC3D1,0.327904044236594,0.000245523342975,0.003467216784099,True,0.06974077938414447
SC_GART_NEAREST_CENTROID_PROGRAM,561,CDCA5,0.526623156662528,1.36999685184974e-06,0.0001198033582207,True,0.03886791133620571
SC_GART_NEAREST_CENTROID_PROGRAM,562,POLA2,0.782874942834636,6.1247276540345e-07,7.48215370692323e-05,True,0.03912394310245304
SC_GART_NEAREST_CENTROID_PROGRAM,563,SSSCA1,0.22808267867046,0.0007657453218102,0.0077255041937393,True,0.06797250483736739
SC_GART_NEAREST_CENTROID_PROGRAM,564,RNASEH2C,0.259219559601771,0.0013995440570245,0.0115318736487532,True,0.07866989114953926
SC_GART_NEAREST_CENTROID_PROGRAM,565,CCDC85B,0.343923855069798,0.0007562162603424,0.0076933775236898,True,0.08919506964046553
SC_GART_NEAREST_CENTROID_PROGRAM,566,DRAP1,0.222527560027434,0.0001324086436554,0.0023036234458877,True,0.07959959584774867
SC_GART_NEAREST_CENTROID_PROGRAM,567,BANF1,0.263763159557417,8.92763189744567e-06,0.0004029624694594,True,0.07164666618702653
SC_GART_NEAREST_CENTROID_PROGRAM,568,YIF1A,0.130956008443927,0.0056172792677092,0.0302790354538472,True,0.06116842512249421
SC_GART_NEAREST_CENTROID_PROGRAM,569,MRPL11,0.227843719888964,0.0001034962577488,0.0020020558362124,True,0.08900896202454578
SC_GART_NEAREST_CENTROID_PROGRAM,570,GSTP1,0.141878910573057,0.0028737313842616,0.0190299184576944,True,0.010481888478199308
SC_GART_NEAREST_CENTROID_PROGRAM,571,NUDT8,0.297736553180881,2.3421023388671e-05,0.0007332280831901,True,0.08848984756378075
SC_GART_NEAREST_CENTROID_PROGRAM,572,NDUFS8,0.148407403517975,0.0007929645992751,0.0078938256255563,True,0.04945473579695947
SC_GART_NEAREST_CENTROID_PROGRAM,573,GAL,0.469635120467165,0.0069524667817962,0.0349927336142443,True,0.029306737008771067
SC_GART_NEAREST_CENTROID_PROGRAM,574,MRPL21,0.188618526743304,0.0002934564146186,0.0039276639735001,True,0.07557831465456366
SC_GART_NEAREST_CENTROID_PROGRAM,575,ANAPC15,0.128903726853492,0.0092420762077671,0.0424833106335764,True,0.06731003016509007
SC_GART_NEAREST_CENTROID_PROGRAM,576,POLD3,0.377162368589088,4.39143999298998e-05,0.0011217135018457,True,0.06007212988427746
SC_GART_NEAREST_CENTROID_PROGRAM,577,DGAT2,0.508883976054616,0.0019683980055324,0.0144877702581397,True,0.01941386312205562
SC_GART_NEAREST_CENTROID_PROGRAM,578,B3GNT6,0.447461441502618,0.0016604213029949,0.0129055843875245,True,0.031072789973035198
SC_GART_NEAREST_CENTROID_PROGRAM,579,ALG8,0.203480139086183,0.0115434070711629,0.0495210646504961,True,0.05344730014961907
SC_GART_NEAREST_CENTROID_PROGRAM,580,EED,0.252872624903817,0.0073374309997406,0.0362166829187903,True,0.04190144271731866
SC_GART_NEAREST_CENTROID_PROGRAM,581,KDELC2,0.344104211124787,0.0009416037034059,0.0089230050780602,True,0.029694200409477012
SC_GART_NEAREST_CENTROID_PROGRAM,582,ZW10,0.300211966758035,0.0064373104607627,0.0331875836094096,True,0.023338361005158736
SC_GART_NEAREST_CENTROID_PROGRAM,583,REXO2,0.191783396459778,0.0006505048964716,0.0068712636573734,True,0.07356014581456438
SC_GART_NEAREST_CENTROID_PROGRAM,584,BUD13,0.28526838899896,0.0063247229625966,0.0327861094950213,True,0.022945790491935347
SC_GART_NEAREST_CENTROID_PROGRAM,585,IFT46,0.380691396550555,0.0036945885600067,0.022628599905131,True,0.021121934090795214
