endpoint,family,panel,group,mouse_id,value,source_replicate_position,mouse_id_status
GART MFI,multiplex_IF::GART(黄）+MYBL2(紫）+KI67（绿）,GART(黄）+MYBL2(紫）+KI67（绿）,Control,IF_GART_MYBL2_KI67__Control_rep_02,0.96,2,source-position ID; actual mouse and selection mapping absent
GART MFI,multiplex_IF::GART(黄）+MYBL2(紫）+KI67（绿）,GART(黄）+MYBL2(紫）+KI67（绿）,Control,IF_GART_MYBL2_KI67__Control_rep_03,0.46,3,source-position ID; actual mouse and selection mapping absent
GART MFI,multiplex_IF::GART(黄）+MYBL2(紫）+KI67（绿）,GART(黄）+MYBL2(紫）+KI67（绿）,Model,IF_GART_MYBL2_KI67__Model_rep_01,12.32,1,source-position ID; actual mouse and selection mapping absent
GART MFI,multiplex_IF::GART(黄）+MYBL2(紫）+KI67（绿）,GART(黄）+MYBL2(紫）+KI67（绿）,Model,IF_GART_MYBL2_KI67__Model_rep_02,9.38,2,source-position ID; actual mouse and selection mapping absent
GART MFI,multiplex_IF::GART(黄）+MYBL2(紫）+KI67（绿）,GART(黄）+MYBL2(紫）+KI67（绿）,Model,IF_GART_MYBL2_KI67__Model_rep_03,5.76,3,source-position ID; actual mouse and selection mapping absent
MYBL2 nuclear MFI,multiplex_IF::GART(黄）+MYBL2(紫）+KI67（绿）,GART(黄）+MYBL2(紫）+KI67（绿）,Control,IF_GART_MYBL2_KI67__Control_rep_01,2.42,1,source-position ID; actual mouse and selection mapping absent
MYBL2 nuclear MFI,multiplex_IF::GART(黄）+MYBL2(紫）+KI67（绿）,GART(黄）+MYBL2(紫）+KI67（绿）,Control,IF_GART_MYBL2_KI67__Control_rep_02,1.88,2,source-position ID; actual mouse and selection mapping absent
MYBL2 nuclear MFI,multiplex_IF::GART(黄）+MYBL2(紫）+KI67（绿）,GART(黄）+MYBL2(紫）+KI67（绿）,Control,IF_GART_MYBL2_KI67__Control_rep_03,5.74,3,source-position ID; actual mouse and selection mapping absent
MYBL2 nuclear MFI,multiplex_IF::GART(黄）+MYBL2(紫）+KI67（绿）,GART(黄）+MYBL2(紫）+KI67（绿）,Model,IF_GART_MYBL2_KI67__Model_rep_01,35.96,1,source-position ID; actual mouse and selection mapping absent
MYBL2 nuclear MFI,multiplex_IF::GART(黄）+MYBL2(紫）+KI67（绿）,GART(黄）+MYBL2(紫）+KI67（绿）,Model,IF_GART_MYBL2_KI67__Model_rep_02,51.84,2,source-position ID; actual mouse and selection mapping absent
MYBL2 nuclear MFI,multiplex_IF::GART(黄）+MYBL2(紫）+KI67（绿）,GART(黄）+MYBL2(紫）+KI67（绿）,Model,IF_GART_MYBL2_KI67__Model_rep_03,39.71,3,source-position ID; actual mouse and selection mapping absent
